beds,baths,size,lot_size,zip_code,price
3,2.5,2590.0,6000.0,98144,795000.0
4,2.0,2240.0,13503.6,98106,915000.0
4,3.0,2040.0,3783.0,98107,950000.0
4,3.0,3800.0,5175.0,98199,1950000.0
2,2.0,1190.0,43560.0,98107,740000.0
1,1.0,670.0,6000.0,98133,460000.0
5,3.5,4510.0,6000.0,98105,3150000.0
3,2.5,1520.0,741.0,98108,565000.0
4,2.0,2340.0,9500.0,98178,699000.0
3,2.0,1320.0,1386.0,98103,899000.0
3,2.0,1800.0,3993.0,98177,1050000.0
3,2.5,2490.0,5757.0,98103,935625.0
4,3.0,2650.0,6380.0,98115,1511000.0
5,1.5,2560.0,5200.0,98199,1330000.0
3,2.5,2974.0,3840.0,98119,1750000.0
4,3.5,1989.0,1607.0,98117,980000.0
4,3.0,2668.0,5589.0,98116,1213000.0
2,1.0,770.0,5250.0,98133,530000.0
3,1.5,1280.0,9100.0,98146,625000.0
5,3.5,3200.0,9260.0,98133,1275000.0
2,1.5,889.0,10018.800000000001,98103,680000.0
3,2.0,3140.0,5000.0,98117,1219700.0
4,2.0,2000.0,8077.0,98125,907200.0
3,2.5,1690.0,1733.0,98108,760000.0
4,5.5,3000.0,5520.0,98126,1484000.0
3,3.0,1550.0,1400.0,98115,950000.0
2,2.0,871.0,12632.4,98119,430000.0
4,1.5,1940.0,8778.0,98118,520000.0
3,2.0,1770.0,3349.0,98146,805000.0
5,5.0,2510.0,11761.2,98133,1000000.0
3,2.5,1500.0,1056.0,98103,1070000.0
5,4.0,2920.0,6323.0,98133,948000.0
3,2.0,2817.0,6375.0,98103,912000.0
1,1.0,617.0,21344.399999999998,98109,480000.0
2,2.0,1280.0,3000.0,98112,776000.0
2,1.0,1240.0,5038.0,98126,750000.0
4,2.5,2280.0,3932.0,98106,1065000.0
5,3.5,3590.0,15681.599999999999,98136,2350000.0
4,3.5,2478.0,2761.0,98115,1580000.0
3,3.0,2360.0,6600.0,98117,1775000.0
2,1.0,720.0,7500.0,98177,600000.0
3,2.0,2480.0,5829.0,98126,800000.0
3,2.0,1550.0,6720.0,98199,1100000.0
2,1.0,780.0,3060.0,98103,750000.0
5,3.0,2820.0,6250.0,98136,865000.0
5,3.0,2900.0,3600.0,98112,1450000.0
2,2.0,1092.0,5500.0,98122,829000.0
